Date,Open,High,Low,Close,Volume,OpenInt
20120206,1.2052,1.2101,1.2032,1.2053,0,0
20120207,1.2055,1.2073,1.1972,1.1989,0,0
20120208,1.1989,1.2005,1.1921,1.1934,0,0
20120209,1.193,1.1996,1.1901,1.1904,0,0
20120210,1.1906,1.1975,1.1895,1.1938,0,0
20120213,1.193,1.1962,1.1902,1.1956,0,0
20120214,1.1956,1.1966,1.1905,1.1952,0,0
20120215,1.195,1.2024,1.1902,1.2014,0,0
20120216,1.2013,1.2081,1.2011,1.2037,0,0
20120217,1.2035,1.2063,1.1994,1.2045,0,0
20120220,1.2017,1.2025,1.1951,1.1969,0,0
20120221,1.1969,1.1991,1.1901,1.1925,0,0
20120222,1.1927,1.1935,1.1819,1.1827,0,0
20120223,1.183,1.183,1.1765,1.1773,0,0
20120224,1.1775,1.1814,1.1757,1.1803,0,0
20120227,1.1807,1.1848,1.1783,1.1811,0,0
20120228,1.181,1.1818,1.1777,1.1814,0,0
20120229,1.1816,1.1953,1.1806,1.195,0,0
20120301,1.1949,1.1997,1.1928,1.1981,0,0
20120302,1.1981,1.2027,1.1973,1.1993,0,0
20120305,1.2,1.2011,1.197,1.2003,0,0
20120306,1.2005,1.2021,1.1975,1.1981,0,0
20120307,1.1985,1.1991,1.1957,1.1971,0,0
20120308,1.1973,1.1986,1.1906,1.1921,0,0
20120309,1.1925,1.1982,1.1912,1.1943,0,0
20120312,1.1946,1.1975,1.188,1.1889,0,0
20120313,1.1891,1.2014,1.1871,1.2006,0,0
20120314,1.2006,1.2056,1.1998,1.2026,0,0
20120315,1.2024,1.2029,1.1975,1.2015,0,0
20120316,1.2015,1.2057,1.2002,1.2025,0,0
20120319,1.202,1.2073,1.1985,1.2007,0,0
20120320,1.2007,1.2027,1.1968,1.1989,0,0
20120321,1.1987,1.2017,1.1945,1.2009,0,0
20120322,1.2009,1.2049,1.1978,1.1983,0,0
20120323,1.1983,1.1996,1.1952,1.1958,0,0
20120326,1.1963,1.1996,1.1946,1.1956,0,0
20120327,1.1954,1.1998,1.1945,1.1973,0,0
20120328,1.1974,1.1978,1.191,1.1932,0,0
20120329,1.1934,1.2001,1.1924,1.1994,0,0
20120330,1.1996,1.2012,1.1961,1.2,0,0
20120402,1.1987,1.2057,1.1975,1.203,0,0
20120403,1.2031,1.2034,1.1963,1.2022,0,0
20120404,1.2021,1.2105,1.201,1.2094,0,0
20120405,1.2093,1.2141,1.2078,1.2114,0,0
20120409,1.2136,1.2152,1.2111,1.2127,0,0
20120410,1.2129,1.2145,1.2082,1.2124,0,0
20120411,1.2126,1.2146,1.21,1.2137,0,0
20120412,1.2137,1.2155,1.2092,1.2103,0,0
20120413,1.2102,1.2153,1.2094,1.2117,0,0
20120416,1.2129,1.2179,1.2095,1.2107,0,0
20120417,1.2105,1.2152,1.2103,1.2133,0,0
20120418,1.2134,1.2234,1.2129,1.221,0,0
20120419,1.2209,1.2252,1.2204,1.2223,0,0
20120420,1.2222,1.2249,1.2188,1.2196,0,0
20120423,1.2222,1.2273,1.2209,1.2256,0,0
20120424,1.2254,1.2279,1.2214,1.2234,0,0
20120425,1.2232,1.2248,1.2164,1.2228,0,0
20120426,1.223,1.2273,1.2217,1.2265,0,0
20120427,1.2268,1.2292,1.2237,1.2269,0,0
20120430,1.2289,1.2311,1.2254,1.2262,0,0
20120501,1.226,1.2272,1.2196,1.2251,0,0
20120502,1.2251,1.2327,1.2248,1.2313,0,0
20120503,1.2315,1.2348,1.228,1.2301,0,0
20120504,1.2301,1.2353,1.2284,1.2345,0,0
20120507,1.2397,1.2444,1.2378,1.2403,0,0
20120508,1.2401,1.2431,1.2388,1.2426,0,0
20120509,1.2426,1.2476,1.2406,1.2471,0,0
20120510,1.2471,1.2497,1.243,1.2473,0,0
20120511,1.2474,1.2503,1.2423,1.244,0,0
20120514,1.2465,1.2557,1.2456,1.255,0,0
20120515,1.255,1.2573,1.2478,1.2563,0,0
20120516,1.2564,1.2578,1.2488,1.2513,0,0
20120517,1.2512,1.2514,1.2429,1.2444,0,0
20120518,1.2445,1.2461,1.2378,1.2382,0,0
20120521,1.2374,1.2403,1.2348,1.2354,0,0
20120522,1.2355,1.2436,1.2343,1.2432,0,0
20120523,1.2432,1.2503,1.2405,1.2467,0,0
20120524,1.2467,1.2507,1.2457,1.2499,0,0
20120525,1.2499,1.2532,1.2429,1.2516,0,0
20120528,1.2472,1.2526,1.2442,1.2502,0,0
20120529,1.2503,1.2528,1.2491,1.2521,0,0
20120530,1.2521,1.2545,1.2499,1.2518,0,0
20120531,1.2516,1.2518,1.244,1.2461,0,0
20120601,1.2461,1.2474,1.2351,1.2354,0,0
20120604,1.2362,1.2395,1.2303,1.2312,0,0
20120605,1.2312,1.2363,1.2283,1.2349,0,0
20120606,1.2349,1.2421,1.2309,1.2316,0,0
20120607,1.2316,1.2399,1.2298,1.2364,0,0
20120608,1.2364,1.239,1.2349,1.2359,0,0
20120611,1.2269,1.2417,1.2263,1.241,0,0
20120612,1.2409,1.2481,1.2376,1.245,0,0
20120613,1.245,1.2464,1.2335,1.2342,0,0
20120614,1.2343,1.2369,1.2313,1.2315,0,0
20120615,1.2315,1.2419,1.2265,1.2417,0,0
20120618,1.2345,1.2465,1.2329,1.2455,0,0
20120619,1.2456,1.2461,1.2376,1.2393,0,0
20120620,1.2393,1.2411,1.2355,1.2371,0,0
20120621,1.2371,1.2437,1.2359,1.243,0,0
20120622,1.243,1.2462,1.2396,1.2406,0,0
20120625,1.2418,1.247,1.2413,1.2457,0,0
20120626,1.2457,1.2524,1.2439,1.2517,0,0
20120627,1.2516,1.2522,1.2475,1.2485,0,0
20120628,1.2485,1.2522,1.2454,1.2471,0,0
20120629,1.2471,1.2485,1.2353,1.2411,0,0
20120702,1.2387,1.249,1.2381,1.2469,0,0
20120703,1.2469,1.248,1.2431,1.2444,0,0
20120704,1.2444,1.246,1.2417,1.2449,0,0
20120705,1.2448,1.2554,1.2434,1.2528,0,0
20120706,1.2527,1.2618,1.2525,1.2604,0,0
20120709,1.2616,1.2633,1.2582,1.2607,0,0
20120710,1.2606,1.2669,1.2601,1.2664,0,0
20120711,1.2664,1.2704,1.2651,1.2668,0,0
20120712,1.2669,1.2687,1.2637,1.265,0,0
20120713,1.2648,1.2728,1.2637,1.272,0,0
20120716,1.2717,1.2769,1.2708,1.2741,0,0
20120717,1.2741,1.2768,1.2697,1.2731,0,0
20120718,1.2732,1.2771,1.2708,1.2746,0,0
20120719,1.2746,1.2833,1.2732,1.2805,0,0
20120720,1.2806,1.2867,1.2787,1.2848,0,0
20120723,1.2875,1.2881,1.278,1.2795,0,0
20120724,1.2795,1.2872,1.2787,1.2856,0,0
20120725,1.2855,1.286,1.2732,1.2754,0,0
20120726,1.2754,1.2794,1.2724,1.2773,0,0
20120727,1.2773,1.282,1.2701,1.2789,0,0
20120730,1.2792,1.2835,1.2775,1.2813,0,0
20120731,1.2814,1.2821,1.2715,1.2744,0,0
20120801,1.2742,1.2752,1.2668,1.2706,0,0
20120802,1.2707,1.278,1.2639,1.2735,0,0
20120803,1.2736,1.2749,1.2621,1.2621,0,0
20120806,1.2616,1.263,1.2558,1.2582,0,0
20120807,1.2584,1.262,1.2565,1.2601,0,0
20120808,1.2601,1.269,1.2582,1.2663,0,0
20120809,1.2663,1.2729,1.2656,1.2707,0,0
20120810,1.2707,1.2772,1.2694,1.2763,0,0
20120813,1.2759,1.2774,1.2699,1.2715,0,0
20120814,1.2716,1.2731,1.2683,1.2725,0,0
20120815,1.2726,1.2781,1.2691,1.2763,0,0
20120816,1.2762,1.2799,1.2723,1.2736,0,0
20120817,1.2736,1.276,1.2694,1.2725,0,0
20120820,1.2722,1.2764,1.2704,1.2725,0,0
20120821,1.2725,1.2733,1.2646,1.2656,0,0
20120822,1.2655,1.2695,1.2643,1.2675,0,0
20120823,1.2675,1.2684,1.2619,1.2622,0,0
20120824,1.2622,1.2673,1.2606,1.2632,0,0
20120827,1.2644,1.2655,1.2613,1.2634,0,0
20120828,1.2634,1.2647,1.2571,1.2591,0,0
20120829,1.259,1.2649,1.2584,1.2632,0,0
20120830,1.2632,1.2654,1.2601,1.2622,0,0
20120831,1.2621,1.2631,1.2568,1.2619,0,0
20120903,1.2623,1.2645,1.2604,1.2619,0,0
20120904,1.2619,1.2655,1.259,1.2632,0,0
20120905,1.2631,1.2678,1.261,1.2618,0,0
20120906,1.2619,1.265,1.2576,1.2615,0,0
20120907,1.2615,1.2615,1.2489,1.249,0,0
20120910,1.2504,1.2535,1.2483,1.2532,0,0
20120911,1.2531,1.2551,1.249,1.2503,0,0
20120912,1.2503,1.2531,1.2456,1.2489,0,0
20120913,1.2488,1.2515,1.2431,1.2437,0,0
20120914,1.2437,1.2442,1.2323,1.2355,0,0
20120917,1.2365,1.2404,1.2343,1.239,0,0
20120918,1.2389,1.2465,1.2385,1.2449,0,0
20120919,1.2449,1.2472,1.2408,1.2434,0,0
20120920,1.2433,1.2519,1.2427,1.2506,0,0
20120921,1.2506,1.2539,1.2487,1.25,0,0
20120924,1.2515,1.2572,1.2505,1.2545,0,0
20120925,1.2545,1.2599,1.2522,1.255,0,0
20120926,1.255,1.2594,1.2546,1.2559,0,0
20120927,1.2559,1.262,1.2553,1.257,0,0
20120928,1.2572,1.2581,1.2508,1.256,0,0
20121001,1.257,1.2591,1.2495,1.2518,0,0
20121002,1.2518,1.2533,1.2472,1.2487,0,0
20121003,1.2488,1.2506,1.2449,1.2456,0,0
20121004,1.2456,1.2465,1.242,1.2441,0,0
20121005,1.244,1.2452,1.2379,1.238,0,0
20121008,1.239,1.2409,1.2352,1.2356,0,0
20121009,1.2356,1.2433,1.2346,1.2421,0,0
20121010,1.2422,1.2457,1.2404,1.2452,0,0
20121011,1.2451,1.2465,1.2389,1.2411,0,0
20121012,1.2411,1.242,1.2365,1.2401,0,0
20121015,1.2413,1.2438,1.238,1.2415,0,0
20121016,1.2414,1.2416,1.2306,1.2306,0,0
20121017,1.2306,1.2333,1.2289,1.2306,0,0
20121018,1.2306,1.233,1.2274,1.228,0,0
20121019,1.228,1.2312,1.2274,1.2286,0,0
20121022,1.2293,1.2311,1.2249,1.2256,0,0
20121023,1.2256,1.2308,1.2253,1.2285,0,0
20121024,1.2285,1.238,1.2273,1.2365,0,0
20121025,1.2364,1.247,1.2349,1.2455,0,0
20121026,1.2455,1.2497,1.2434,1.2443,0,0
20121029,1.2445,1.2462,1.2414,1.2425,0,0
20121030,1.2425,1.2438,1.2387,1.2403,0,0
20121031,1.2403,1.2455,1.2384,1.2449,0,0
20121101,1.2448,1.2494,1.2435,1.2459,0,0
20121102,1.2459,1.2506,1.2456,1.248,0,0
20121105,1.2495,1.2522,1.2481,1.2488,0,0
20121106,1.2488,1.2525,1.2468,1.2485,0,0
20121107,1.2485,1.2543,1.2452,1.2515,0,0
20121108,1.2514,1.2562,1.2508,1.2539,0,0
20121109,1.2539,1.2551,1.2501,1.2506,0,0
20121112,1.2505,1.2517,1.2468,1.2494,0,0
20121113,1.2494,1.2546,1.2489,1.2495,0,0
20121114,1.2495,1.2498,1.2423,1.2442,0,0
20121115,1.2441,1.2453,1.2399,1.2411,0,0
20121116,1.2411,1.2484,1.2407,1.2465,0,0
20121119,1.2472,1.2477,1.2413,1.2445,0,0
20121120,1.2445,1.245,1.2418,1.2428,0,0
20121121,1.2428,1.249,1.2421,1.2439,0,0
20121122,1.2439,1.2439,1.2368,1.2373,0,0
20121123,1.2376,1.2384,1.2332,1.2354,0,0
20121126,1.235,1.2374,1.2326,1.2338,0,0
20121127,1.2338,1.2407,1.2331,1.238,0,0
